// each line is a library item. 
//   type   unique-id    title   |   author-or-artist-name
BOOK   43045  Computer Science Hits | Neil Dale and John Lewis
BOOK   47341  How Computers Work | Ron White
REF    48462  Encyclopedia Britannica | Britannica Inc.
REF    47344  National Geographic Computer | Lucy Spelman
BOOK   48450  Java: A Beginner's Guide | Herbert Schildt
CD     48452  Traveller | Chris Staphleton
CD     48453  How Can It Be Java | Lauren Daigle
REF    48460  The Merriam-Webster Dictionary | Merriam
BOOK   45552  Python Programming | John Zelle
CD     45553  I Still Do Programming | Eric Clapton
BOOK   45557  Beginning Software Engineering | Rod Stephens
REF    45559  A dictionary of nutrition | David Bender
CD     45561  Best Eagles Dictionary Songs | Eagles
CD     46555  The Ultimate Computer Hits | Garth Brooks
// the data file can contain comment lines or blank lines
